neighborhood,right of way permits
4,28
35,48
80,59
57,64
66,67
31,80
77,85
54,94
6,101
37,102
20,110
58,115
30,122
82,155
26,173
53,187
89,191
81,202
70,250
86,259
32,263
11,281
42,283
65,294
73,315
21,388
0,404
29,432
14,452
45,461
84,484
88,495
1,512
50,513
33,519
63,522
64,525
48,559
83,571
22,610
78,619
23,621
44,667
27,669
5,686
46,686
3,701
74,752
40,779
41,801
68,842
24,924
8,946
60,1023
38,1058
12,1077
34,1079
43,1081
87,1091
69,1145
56,1221
2,1277
49,1316
61,1321
25,1340
10,1390
62,1448
51,1455
85,1577
39,1584
72,1969
28,1976
79,1978
19,1990
18,2022
47,2032
55,2062
7,2183
36,2349
9,2897
13,2909
15,2923
75,2928
17,3150
52,3567
76,3743
71,4866
67,5430
16,12197