,neighborhood,paac stops,points_stops,,neighborhood,right of way permits,points_permits,,neighborhood,# of cars passing,points_traffic,,,,,,total points
,0,28,39,,0,404,27,,0,2386,30,,,,,,96
,1,11,74,,1,512,33,,1,477,5,,,,,,112
,2,17,58,,2,1277,62,,2,,x,,,,,,
,3,7,79,,3,701,47,,3,2224,26,,,,,,152
,4,1,88,,4,28,1,,4,,x,,,,,,
,5,15,62,,5,686,45,,5,,x,,,,,,
,6,12,73,,6,101,9,,6,,x,,,,,,
,7,27,42,,7,2183,78,,7,1418.3333,15,,,,,,135
,8,40,22,,8,946,53,,8,1577,18,,,,,,71
,9,89,3,,9,2897,80,,9,3078.6429,41,,,,,,124
,10,30,34,,10,1390,66,,10,1788.3333,20,,,,,,86
,11,13,69,,11,281,22,,11,,x,,,,,,
,12,53,14,,12,1077,56,,12,2515.6666,34,,,,,,104
,13,71,10,,13,2909,81,,13,3914.4,47,,,,,,138
,14,14,67,,14,452,29,,14,4975.3333,54,,,,,,150
,15,44,19,,15,2923,82,,15,1969.5714,22,,,,,,123
,16,97,2,,16,12197,89,,16,2305,28,,,,,,119
,17,29,37,,17,3150,84,,17,2249.8333,27,,,,,,148
,18,17,59,,18,2022,75,,18,1189,10,,,,,,144
,19,13,70,,19,1990,74,,19,3768.6666,43,,,,,,187
,20,6,82,,20,110,11,,20,2571,35,,,,,,128
,21,19,56,,21,388,26,,21,,x,,,,,,
,22,27,43,,22,610,40,,22,11500,62,,,,,,145
,23,28,40,,23,621,42,,23,,x,,,,,,
,24,13,71,,24,924,52,,24,5831,56,,,,,,179
,25,30,35,,25,1340,65,,25,1924,21,,,,,,121
,26,5,83,,26,173,15,,26,,x,,,,,,
,27,45,17,,27,669,44,,27,2465,33,,,,,,94
,28,64,12,,28,1976,72,,28,4658.8181,52,,,,,,136
,29,20,54,,29,432,28,,29,1342.6666,14,,,,,,96
,30,9,78,,30,122,13,,30,,x,,,,,,
,31,10,75,,31,80,6,,31,,x,,,,,,
,32,14,68,,32,263,21,,32,419,4,,,,,,93
,33,15,63,,33,519,35,,33,2443.5,32,,,,,,130
,34,39,24,,34,1079,57,,34,,x,,,,,,
,35,16,61,,35,48,2,,35,,x,,,,,,
,36,82,6,,36,2349,79,,36,2386,29,,,,,,114
,37,7,80,,37,102,10,,37,,x,,,,,,
,38,66,11,,38,1058,55,,38,1289.5,12,,,,,,78
,39,36,25,,39,1584,70,,39,1564.7333,17,,,,,,112
,40,33,32,,40,779,49,,40,6938.3333,58,,,,,,139
,41,42,20,,41,801,50,,41,4454.5555,51,,,,,,121
,42,21,52,,42,283,23,,42,,x,,,,,,
,43,31,33,,43,1081,58,,43,3823,45,,,,,,136
,44,58,13,,44,667,43,,44,3771.3,44,,,,,,100
,45,26,47,,45,461,30,,45,126,2,,,,,,79
,46,83,5,,46,686,46,,46,195,3,,,,,,54
,47,35,29,,47,2032,76,,47,1736,19,,,,,,124
,48,27,44,,48,559,38,,48,2129.3,25,,,,,,107
,49,0,89,,49,1316,63,,49,,x,,,,,,
,50,27,45,,50,513,34,,50,,x,,,,,,
,51,35,30,,51,1455,68,,51,2049.2857,23,,,,,,121
,52,98,1,,52,3567,85,,52,5379.375,55,,,,,,141
,53,10,76,,53,187,16,,53,,x,,,,,,
,54,3,84,,54,94,8,,54,666,6,,,,,,98
,55,47,15,,55,2062,77,,55,5955.25,57,,,,,,149
,56,10,77,,56,1221,61,,56,10350,61,,,,,,199
,58,7,81,,57,64,4,,57,,x,,,,,,
,59,35,31,,58,115,12,,58,,x,,,,,,
,60,15,64,,,,,,59,2123.7777,24,,,,,,
,61,73,9,,60,1023,54,,60,777,7,,,,,,70
,62,42,21,,61,1321,64,,61,3018.75,39,,,,,,124
,63,15,65,,62,1448,67,,62,3905.25,46,,,,,,178
,64,30,36,,63,522,36,,63,4964,53,,,,,,125
,65,13,72,,64,525,37,,64,2649,37,,,,,,146
,66,2,86,,65,294,24,,65,16729,63,,,,,,173
,67,86,4,,66,67,5,,66,,x,,,,,,
,68,47,16,,67,5430,88,,67,4408.8,50,,,,,,154
,69,26,48,,68,842,51,,68,2844,38,,,,,,137
,70,17,60,,69,1145,60,,69,,x,,,,,,
,71,45,18,,70,250,19,,70,,x,,,,,,
,72,40,23,,71,4866,87,,71,115,1,,,,,,111
,73,29,38,,72,1969,71,,72,3599.25,42,,,,,,151
,74,36,26,,73,315,25,,73,1226,11,,,,,,62
,75,78,8,,74,752,48,,74,1293,13,,,,,,69
,75,21,53,,75,2928,83,,75,3939.1111,48,,,,,,184
,76,82,7,,76,3743,86,,76,3050.07692,40,,,,,,133
,77,2,87,,77,85,7,,77,2436,31,,,,,,125
,78,25,49,,78,619,41,,78,4068,49,,,,,,139
,79,27,46,,79,1978,73,,79,9691.6666,60,,,,,,179
,80,25,50,,80,59,3,,80,937,8,,,,,,61
,81,3,85,,81,202,18,,81,,x,,,,,,
,82,36,27,,82,155,14,,82,,x,,,,,,
,83,0,90,,83,571,39,,83,,x,,,,,,
,84,22,51,,84,484,31,,84,953.3333,9,,,,,,91
,85,28,41,,85,1577,69,,85,,x,,,,,,
,86,15,66,,86,259,20,,86,,x,,,,,,
,87,36,28,,87,1091,59,,87,2585,36,,,,,,123
,88,20,55,,88,495,32,,88,7700,59,,,,,,146
,89,19,57,,89,191,17,,89,1531,16,,,,,,90